CUST_ID,BALANCE,PURCHASES,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT
1,41.02560229,95.4,2,1000,183.3619597,0
2,2298.240072,773.17,12,7500,603.8650161,0
3,1708.570753,1499,1,7500,0,0
4,1808.851927,1333.28,8,1800,1274.574971,0
5,598.969225,7091.01,64,13500,6358.267065,1
6,1811.400157,436.2,12,2300,735.8254967,0
7,1078.782491,861.49,5,7000,713.5486004,0
8,159.4464198,1281.6,3,11000,1124.149307,0
9,1243.525767,920.12,12,1200,1052.423555,0
10,633.4028492,1492.18,6,2000,751.0339966,0
11,1509.363806,3217.99,26,3000,575.656913,0.25
12,912.4743406,2137.93,26,7500,1594.414377,0.083333
13,6438.505171,1611.7,11,8000,1879.292234,0
14,41.39862898,519,8,2500,262.4870901,0.25
15,2070.741505,504.35,9,13000,1804.999898,0
16,3479.864378,398.64,12,4000,996.4703834,0
17,1875.639688,176.68,8,2000,224.2647727,0
18,6227.893023,6359.95,92,11250,2098.553868,0
19,125.5214654,815.9,17,1800,2530.83444,0
20,3475.119988,4248.35,13,9000,8706.009165,0
21,160.2626559,399.6,12,3000,217.9832307,0
22,1471.896033,102,2,1700,973.8898089,0
23,133.0738894,233.28,12,1000,206.3038016,0
24,7591.699811,387.05,8,10500,1519.566882,0
25,20.37312137,100,5,6900,151.3408123,0
26,13103.67549,3038.01,64,13000,3891.190406,0
27,1248.672344,1347.71,45,6000,631.7001321,0
28,6147.640372,324.95,3,10500,1565.385936,0
29,133.6352118,636.79,11,1200,383.2145445,0.3
30,3571.825468,547.28,14,11000,8867.737883,0
31,4322.164306,2380.55,41,5000,1520.581754,0
32,6339.697,204,2,9000,1285.570599,0
33,1419.9021,963.24,6,7500,21263.94728,0.333333
34,853.5630269,1526.59,27,3000,1328.358343,0.111111
35,4056.038404,203.82,1,4500,906.4707712,0
36,4982.107784,1525.44,20,8500,1440.351391,0
37,2290.356733,437,5,2400,0,0
38,516.8949244,109.74,3,1700,188.2778894,0
39,247.4098963,2390.6,87,3300,2488.004501,0.916667
40,878.8414137,507.5,3,4000,627.6769427,0.083333
41,4652.916164,901.42,9,12000,7313.23207,0
42,1142.390484,3107.85,18,2500,1488.409437,0
43,458.3511996,1979.22,11,3000,3283.391481,0.2
44,6.572519336,310,8,1000,396.1603538,0
45,1335.627559,1283.9,6,6000,0,0
46,3310.139198,313.27,4,4000,0,0
47,2296.027738,5217.62,42,7500,6006.333663,0.083333
48,5432.004945,229,6,6000,2076.211606,0
49,1835.249638,113,2,6500,3311.380496,0
50,1511.382953,66.2,1,1600,371.4810037,0
51,7.034492427,840,1,1600,0,0
52,1884.236879,1887.64,61,1850,3704.00677,0.083333
53,1703.221932,412.33,11,1800,707.9462683,0
54,4320.178643,263.5,8,6000,6299.335949,0.083333
55,1668.07663,1363.69,4,1700,1578.49384,0
56,5126.763653,419.1,11,6250,1376.48037,0
57,3194.777783,4523.27,33,7000,28302.17671,0.454545
58,1980.343094,713.9,8,2250,848.2801826,0
59,543.4634967,791.94,7,6000,1255.729176,0
60,6376.231697,561.87,14,6000,2037.132853,0
61,1665.096278,606.11,17,11000,3092.037445,0
62,583.8711661,320,8,1500,1374.405781,0
63,6406.12689,388.66,7,7000,1486.772976,0
64,15.62184077,244.85,13,5000,376.7342322,0.181818
65,4.158337416,133.05,5,12000,209.8188781,0.444444
66,42.17334948,396,12,1200,791.2269123,1
67,1922.606118,4915.6,50,9000,4871.540904,0
68,135.7993608,1247.8,22,16500,1240.420167,1
69,6988.486905,1603.78,23,11000,4873.84664,0
70,7584.903291,2258.01,60,13500,3138.033846,0
71,8680.039296,5100.07,46,9000,6096.953311,0
72,1919.515062,1032.04,17,4000,3072.843448,0.090909
73,1239.564569,405.6,2,2400,0,0
74,2179.874806,213.34,3,2400,0,0
75,1687.824666,739.44,11,6000,410.9967493,0
76,4.290720258,79,3,7000,215.041342,1
77,24.85942173,1346.28,12,2000,696.7439943,0
78,3578.609232,2823.8,75,5700,8873.351372,0.083333
79,0.59611744,389.96,31,4500,0,0
80,2508.176544,808,4,4000,545.0743188,0
81,434.8707333,941.64,12,2500,1054.587676,0.083333
82,1165.441534,423.7,10,2000,607.4725358,0
83,6134.314048,4478.75,64,9000,11387.62206,0.083333
84,159.6989797,1354.86,34,5500,773.1910922,0
85,5164.761688,2812.2,81,8500,1575.63707,0
86,161.6602686,1508.9,14,5000,2010.156989,1
87,738.9488319,1045.57,25,3000,555.6981142,0
88,225.4832044,2309.78,12,6500,1131.443607,0.333333
89,59.61154346,495,2,7000,1773.38539,1
90,8200.422726,6724.26,85,17000,1905.570475,0
91,1486.975147,1174.39,8,9000,0,0
92,1934.132931,5580.85,75,8500,3745.471164,0
93,2449.545147,12462.44,217,2800,12230.32232,0
94,4663.603843,1957.3,19,5000,984.4928084,0
95,12084.36988,150.64,1,17000,2579.448949,0
96,107.6166977,907,8,5000,0,0
97,4514.021283,1271.12,33,5000,1723.672544,0
98,22.37897184,250.6,7,3000,293.5487892,0
99,10188.28442,796.33,1,13000,10044.56181,0.083333
100,224.382272,440,22,4000,519.7266357,0
101,1602.961197,1330.62,8,2000,1044.621631,0
102,2742.952288,5491.79,52,17000,930.9206217,0
103,765.3230889,897.86,18,1200,896.4306955,0
104,18810.69706,22009.92,216,18000,23478.4902,0
105,2158.7641,720.6,12,2500,1026.660116,0
