CUST_ID,BALANCE,PURCHASES,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT
1,41.02560229,95.4,2,1000,229.2024496,0
2,2298.240072,773.17,12,7500,754.8312701,0
3,1708.570753,1499,1,7500,0,0
4,1808.851927,1333.28,8,1800,1593.218714,0
5,598.969225,7091.01,64,13500,7947.833831,1
6,1811.400157,436.2,12,2300,919.7818709,0
7,1078.782491,861.49,5,7000,891.9357505,0
8,159.4464198,1281.6,3,11000,1405.186634,0
9,1243.525767,920.12,12,1200,1315.529444,0
10,633.4028492,1492.18,6,2000,938.7924958,0
11,1509.363806,3217.99,26,3000,719.5711413,0.25
12,912.4743406,2137.93,26,7500,1993.017971,0.083333
13,6438.505171,1611.7,11,8000,2349.115293,0
14,41.39862898,519,8,2500,328.1088626,0.25
15,2070.741505,504.35,9,13000,2256.249873,0
16,3479.864378,398.64,12,4000,1245.587979,0
17,1875.639688,176.68,8,2000,280.3309659,0
18,6227.893023,6359.95,92,11250,2623.192335,0
19,125.5214654,815.9,17,1800,3163.54305,0
20,3475.119988,4248.35,13,9000,10882.51146,0
21,160.2626559,399.6,12,3000,272.4790384,0
22,1471.896033,102,2,1700,1217.362261,0
23,133.0738894,233.28,12,1000,257.879752,0
24,7591.699811,387.05,8,10500,1899.458603,0
25,20.37312137,100,5,6900,189.1760154,0
26,13103.67549,3038.01,64,13000,4863.988008,0
27,1248.672344,1347.71,45,6000,789.6251651,0
28,6147.640372,324.95,3,10500,1956.73242,0
29,133.6352118,636.79,11,1200,479.0181806,0.3
30,3571.825468,547.28,14,11000,11084.67235,0
31,4322.164306,2380.55,41,5000,1900.727193,0
32,6339.697,204,2,9000,1606.963249,0
33,1419.9021,963.24,6,7500,26579.9341,0.333333
34,853.5630269,1526.59,27,3000,1660.447929,0.111111
35,4056.038404,203.82,1,4500,1133.088464,0
36,4982.107784,1525.44,20,8500,1800.439239,0
37,2290.356733,437,5,2400,0,0
38,516.8949244,109.74,3,1700,235.3473618,0
39,247.4098963,2390.6,87,3300,3110.005626,0.916667
40,878.8414137,507.5,3,4000,784.5961784,0.083333
41,4652.916164,901.42,9,12000,9141.540088,0
42,1142.390484,3107.85,18,2500,1860.511796,0
43,458.3511996,1979.22,11,3000,4104.239351,0.2
44,6.572519336,310,8,1000,495.2004423,0
45,1335.627559,1283.9,6,6000,0,0
46,3310.139198,313.27,4,4000,0,0
47,2296.027738,5217.62,42,7500,7507.917079,0.083333
48,5432.004945,229,6,6000,2595.264508,0
49,1835.249638,113,2,6500,4139.22562,0
50,1511.382953,66.2,1,1600,464.3512546,0
51,7.034492427,840,1,1600,0,0
52,1884.236879,1887.64,61,1850,4630.008463,0.083333
53,1703.221932,412.33,11,1800,884.9328354,0
54,4320.178643,263.5,8,6000,7874.169936,0.083333
55,1668.07663,1363.69,4,1700,1973.1173,0
56,5126.763653,419.1,11,6250,1720.600463,0
57,3194.777783,4523.27,33,7000,35377.72089,0.454545
58,1980.343094,713.9,8,2250,1060.350228,0
59,543.4634967,791.94,7,6000,1569.66147,0
60,6376.231697,561.87,14,6000,2546.416066,0
61,1665.096278,606.11,17,11000,3865.046806,0
62,583.8711661,320,8,1500,1718.007226,0
63,6406.12689,388.66,7,7000,1858.46622,0
64,15.62184077,244.85,13,5000,470.9177903,0.181818
65,4.158337416,133.05,5,12000,262.2735976,0.444444
66,42.17334948,396,12,1200,989.0336404,1
67,1922.606118,4915.6,50,9000,6089.42613,0
68,135.7993608,1247.8,22,16500,1550.525209,1
69,6988.486905,1603.78,23,11000,6092.3083,0
70,7584.903291,2258.01,60,13500,3922.542308,0
71,8680.039296,5100.07,46,9000,7621.191639,0
72,1919.515062,1032.04,17,4000,3841.05431,0.090909
73,1239.564569,405.6,2,2400,0,0
74,2179.874806,213.34,3,2400,0,0
75,1687.824666,739.44,11,6000,513.7459366,0
76,4.290720258,79,3,7000,268.8016775,1
77,24.85942173,1346.28,12,2000,870.9299929,0
78,3578.609232,2823.8,75,5700,11091.68922,0.083333
79,0.59611744,389.96,31,4500,0,0
80,2508.176544,808,4,4000,681.3428985,0
81,434.8707333,941.64,12,2500,1318.234595,0.083333
82,1165.441534,423.7,10,2000,759.3406698,0
83,6134.314048,4478.75,64,9000,14234.52758,0.083333
84,159.6989797,1354.86,34,5500,966.4888653,0
85,5164.761688,2812.2,81,8500,1969.546338,0
86,161.6602686,1508.9,14,5000,2512.696236,1
87,738.9488319,1045.57,25,3000,694.6226428,0
88,225.4832044,2309.78,12,6500,1414.304509,0.333333
89,59.61154346,495,2,7000,2216.731738,1
90,8200.422726,6724.26,85,17000,2381.963094,0
91,1486.975147,1174.39,8,9000,0,0
92,1934.132931,5580.85,75,8500,4681.838955,0
93,2449.545147,12462.44,217,2800,15287.9029,0
94,4663.603843,1957.3,19,5000,1230.616011,0
95,12084.36988,150.64,1,17000,3224.311186,0
96,107.6166977,907,8,5000,0,0
97,4514.021283,1271.12,33,5000,2154.59068,0
98,22.37897184,250.6,7,3000,366.9359865,0
99,10188.28442,796.33,1,13000,12555.70226,0.083333
100,224.382272,440,22,4000,649.6582946,0
101,1602.961197,1330.62,8,2000,1305.777039,0
102,2742.952288,5491.79,52,17000,1163.650777,0
103,765.3230889,897.86,18,1200,1120.538369,0
104,18810.69706,22009.92,216,18000,29348.11275,0
105,2158.7641,720.6,12,2500,1283.325145,0
106,870.7993501,197.06,5,1000,624.6571773,0
107,11503.51083,2084.48,13,21500,3778.515461,0
108,2257.745941,5779.36,97,6500,5755.254739,0
109,3138.917853,1025,2,7500,786.8817875,0
110,19.04888104,689.7,10,10000,883.7662948,0
111,1014.112703,944.96,9,1500,2273.588788,0
112,918.7252443,1039.2,11,13500,2443.078111,0.083333
113,6947.606118,4059.93,14,7000,4199.706519,0
114,1600.047448,4075.37,31,6500,2742.241093,0
115,50.09945815,870.24,24,8000,983.4162289,1
116,12342.59836,9792.23,216,20000,15995.66089,0
117,113.066815,2463.12,46,4000,3127.885383,0.636364
118,109.4105202,1859.34,4,20000,3751.813871,0.25
119,5673.413558,3488.49,46,7900,0,0
120,2644.74336,7283.31,77,11000,18444.62574,0.25
