Week,MaxwellSales,MaxwellPrice,MaxwellDisplay,MaxwellFeature
1,4667.32,2.84,0,0
2,3681.78,2.83,0,0
3,3392.18,2.71,0,0
4,2531.30,3.21,0,0
5,11617.21,1.40,1,1
6,6159.82,1.82,0,1
7,5416.82,2.05,0,1
8,3248.91,2.84,0,1
9,9939.00,1.46,1,1
10,3503.19,2.46,0,1
11,3321.10,2.78,0,1
12,4695.21,2.21,0,0
13,4811.54,2.55,0,0
14,3198.87,3.17,0,0
15,3049.01,3.18,0,0
16,3350.53,3.56,0,0
17,3839.29,3.05,1,1
18,3212.58,3.12,0,1
19,5480.48,2.04,1,1
20,5470.73,1.92,0,1
21,6920.14,1.52,0,1
22,7908.68,1.74,1,1
23,1898.35,3.92,0,0
24,4368.19,2.44,0,0
25,2809.90,2.93,0,0
26,3926.06,3.08,0,0
27,3411.94,3.26,0,0
28,2372.19,3.94,0,0
29,5192.84,2.91,0,0
30,3243.01,3.02,0,0
31,4321.24,2.51,0,0
32,4321.59,3.01,0,0
33,3413.04,3.33,0,0
34,2720.93,3.77,0,0
35,4866.37,2.99,0,0
36,2778.86,3.51,0,0
37,4511.89,2.90,0,0
38,5456.56,2.51,0,0
39,3173.26,3.35,0,0
40,3182.14,3.70,0,0
41,2630.46,3.08,0,0
42,4026.58,2.72,0,0
43,4713.43,2.80,0,0
44,3598.93,3.16,0,0
45,2527.02,3.95,0,0
46,2471.80,4.00,1,1
47,2343.61,4.70,0,1
48,4080.70,3.94,0,1
49,6486.81,3.12,0,0
50,3269.89,3.14,0,0
51,4288.48,3.11,0,0
52,2761.72,4.05,0,0
53,2963.51,4.15,0,0
54,4292.83,3.22,0,0
55,3744.45,3.22,0,0
56,3119.57,3.58,0,0
57,3276.35,3.41,0,0
58,2868.55,4.19,0,0
59,3710.69,3.84,0,0
60,3382.00,4.00,0,0
61,2774.91,3.97,0,0
62,3802.89,3.31,0,0
63,4269.49,2.86,0,0
64,3155.37,3.99,0,0
65,2373.70,4.45,0,0
66,7462.97,2.03,1,1
67,9447.08,1.67,1,1
68,6512.60,1.75,0,1
69,8494.72,1.49,1,1
70,3052.73,2.70,0,0
71,2488.86,3.00,0,0
72,2784.15,3.02,0,0
73,2679.11,3.41,0,0
74,3227.56,2.93,0,0
75,2950.04,3.01,0,0
76,2515.78,3.11,0,0
77,2787.34,3.06,0,0
78,4368.60,2.78,0,0
79,4552.33,2.80,0,0
80,3645.70,2.79,0,0
81,5144.44,2.05,0,0
82,3834.18,3.06,0,0
83,3815.33,2.94,0,0
84,4219.14,2.61,0,0
85,3324.12,3.09,0,0
86,3023.35,2.69,0,0
87,4407.53,2.12,1,0
88,5348.85,2.76,1,1
89,5252.00,2.33,0,0
90,4075.93,2.61,0,0
91,3700.76,2.85,0,0
92,3096.94,3.11,0,0
93,4279.03,3.00,0,0
94,6435.55,2.08,0,0
95,5940.40,1.83,1,1
96,2107.41,3.48,0,0
97,3108.71,3.11,0,0
98,2726.29,3.17,0,0
99,3756.19,2.97,0,0
100,4572.67,2.75,0,0
101,4166.35,2.88,0,0
102,4100.10,2.87,0,0
103,5046.73,2.81,0,0
104,3389.19,2.69,0,0
