CUST_ID,BALANCE,PURCHASES,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT
C0001,40.900749,95.4,2,1000,201.802084,0
C0002,2495.148862,773.17,12,7500,622.066742,0
C0003,1666.670542,1499,1,7500,0,0
C0004,1809.828751,1333.28,8,1800,1400.05777,0
C0005,627.260806,7091.01,64,13500,6354.314328,1
C0006,1823.652743,436.2,12,2300,679.065082,0
C0007,1014.926473,861.49,5,7000,688.278568,0
C0008,152.225975,1281.6,3,11000,1164.770591,0
C0009,1293.124939,920.12,12,1200,1083.301007,0
C0010,630.794744,1492.18,6,2000,705.618627,0
C0011,1516.92862,3217.99,26,3000,608.263689,0.25
C0012,921.693369,2137.93,26,7500,1655.891435,0.083333
C0013,6886.213231,1611.7,11,8000,1993.439277,0
C0014,41.089489,519,8,2500,254.590662,0.25
C0015,1989.072228,504.35,9,13000,1720.837373,0
C0016,3577.970933,398.64,12,4000,1053.980464,0
C0017,2016.684686,176.68,8,2000,223.0686,0
C0018,6369.531318,6359.95,92,11250,2077.959051,0
C0019,132.34224,815.9,17,1800,2359.629958,0
C0020,3800.151377,4248.35,13,9000,9479.043842,0
C0021,169.781679,399.6,12,3000,215.306142,0
C0022,1615.96724,102,2,1700,890.178845,0
C0023,125.694817,233.28,12,1000,207.773715,0
C0024,7152.864372,387.05,8,10500,1601.448347,0
C0025,22.06349,100,5,6900,160.767773,0
C0026,12136.21996,3038.01,64,13000,4230.323491,0
C0027,1162.273324,1347.71,45,6000,645.998299,0
C0028,6732.823064,324.95,3,10500,1720.118876,0
C0029,125.660453,636.79,11,1200,423.449696,0.3
C0030,3517.101616,547.28,14,11000,8735.607835,0
C0031,4047.480828,2380.55,41,5000,1617.894416,0
C0032,6269.418144,204,2,9000,1237.111661,0
C0033,1411.60223,963.24,6,7500,20071.07544,0.333333
C0034,784.889762,1526.59,27,3000,1262.309666,0.111111
C0035,4104.710798,203.82,1,4500,868.275275,0
C0036,5315.945594,1525.44,20,8500,1430.341501,0
C0037,2242.311686,437,5,2400,0,0
C0038,474.447149,109.74,3,1700,176.013005,0
C0039,229.867179,2390.6,87,3300,2543.953559,0.916667
C0040,863.809833,507.5,3,4000,587.866451,0.083333
C0041,4931.331857,901.42,9,12000,8113.297346,0
C0042,1078.888565,3107.85,18,2500,1399.82834,0
C0043,464.674156,1979.22,11,3000,3110.052742,0.2
C0044,6.660517,310,8,1000,417.016763,0
C0045,1311.995984,1283.9,6,6000,0,0
C0046,3625.218146,313.27,4,4000,0,0
C0047,2386.330629,5217.62,42,7500,5678.729613,0.083333
C0048,5493.90406,229,6,6000,2110.557023,0
C0049,1879.114033,113,2,6500,3509.686561,0
C0050,1555.793701,66.2,1,1600,338.083661,0
C0051,7.152356,840,1,1600,0,0
C0052,1923.886805,1887.64,61,1850,3688.045998,0.083333
C0053,1758.059987,412.33,11,1800,777.451648,0
C0054,3990.523579,263.5,8,6000,6876.836205,0.083333
C0055,1699.435486,1363.69,4,1700,1623.816348,0
C0056,5487.683724,419.1,11,6250,1288.214909,0
C0057,2990.422186,4523.27,33,7000,28232.69446,0.454545
C0058,1808.972419,713.9,8,2250,889.017418,0
C0059,532.334517,791.94,7,6000,1305.177304,0
C0060,5860.433624,561.87,14,6000,1990.044998,0
C0061,1727.638449,606.11,17,11000,2959.920544,0
C0062,578.809679,320,8,1500,1438.910569,0
C0063,6593.820644,388.66,7,7000,1624.583114,0
C0064,17.357563,244.85,13,5000,357.802082,0.181818
C0065,3.78631,133.05,5,12000,210.053432,0.444444
C0066,42.46443,396,12,1200,725.606194,1
C0067,1935.362486,4915.6,50,9000,4921.066897,0
C0068,134.917202,1247.8,22,16500,1275.229436,1
C0069,7069.950386,1603.78,23,11000,4589.873897,0
C0070,8181.251131,2258.01,60,13500,3021.575846,0
C0071,9381.255094,5100.07,46,9000,6409.496345,0
C0072,1977.00709,1032.04,17,4000,3056.424974,0.090909
C0073,1307.717841,405.6,2,2400,0,0
C0074,2329.485768,213.34,3,2400,0,0
C0075,1619.955708,739.44,11,6000,417.128532,0
C0076,4.708041,79,3,7000,217.820198,1
C0077,23.394411,1346.28,12,2000,712.149153,0
C0078,3539.801912,2823.8,75,5700,9172.788366,0.083333
C0079,0.62424,389.96,31,4500,0,0
C0080,2441.542991,808,4,4000,532.741699,0
C0081,408.656365,941.64,12,2500,1097.78942,0.083333
C0082,1246.624558,423.7,10,2000,577.050373,0
C0083,6644.201651,4478.75,64,9000,10857.94321,0.083333
C0084,156.216753,1354.86,34,5500,858.976682,0
C0085,5322.994094,2812.2,81,8500,1509.423237,0
C0086,175.341651,1508.9,14,5000,1884.227778,1
C0087,680.195157,1045.57,25,3000,552.432305,0
C0088,223.763616,2309.78,12,6500,1206.81188,0.333333
C0089,54.933231,495,2,7000,1969.845566,1
C0090,8504.876253,6724.26,85,17000,1888.756861,0
C0091,1464.324632,1174.39,8,9000,0,0
C0092,2114.158683,5580.85,75,8500,3564.977774,0
C0093,2392.917738,12462.44,217,2800,11628.71557,0
C0094,4245.855092,1957.3,19,5000,1004.35474,0
C0095,11167.23403,150.64,1,17000,2606.059389,0
C0096,116.654149,907,8,5000,0,0
C0097,4637.848144,1271.12,33,5000,1906.032044,0
C0098,24.28497,250.6,7,3000,319.762903,0
C0099,9354.06045,796.33,1,13000,10664.65866,0.083333
C0100,231.108995,440,22,4000,554.116542,0
C0101,1562.633343,1330.62,8,2000,1020.783647,0
C0102,2494.868559,5491.79,52,17000,1015.311953,0
C0103,706.132889,897.86,18,1200,972.358048,0
C0104,19043.13856,22009.92,216,18000,23018.57583,0
C0105,2235.103331,720.6,12,2500,1061.292471,0
C0106,947.13081,197.06,5,1000,492.200419,0
C0107,10598.46777,2084.48,13,21500,3219.621433,0
C0108,2163.678757,5779.36,97,6500,4416.41268,0
C0109,3057.400553,1025,2,7500,698.854095,0
C0110,19.354559,689.7,10,10000,746.691026,0
C0111,1108.22253,944.96,9,1500,1955.198953,0
C0112,906.573724,1039.2,11,13500,1855.235407,0.083333
C0113,7679.62904,4059.93,14,7000,3685.61062,0
C0114,1523.911458,4075.37,31,6500,2254.26002,0
C0115,49.206256,870.24,24,8000,835.839952,1
C0116,13673.07961,9792.23,216,20000,11717.30794,0
C0117,106.455975,2463.12,46,4000,2573.722764,0.636364
C0118,119.760904,1859.34,4,20000,3104.275623,0.25
C0119,5837.105453,3488.49,46,7900,0,0
C0120,2765.748281,7283.31,77,11000,14373.3929,0.25
C0121,1046.37041,295,2,1200,439.407082,0
C0122,871.568977,648.22,27,1200,1110.886425,0
C0123,1610.040203,557.19,5,4000,422.711848,0
C0124,114.593817,469.98,6,1000,367.109312,0.5
C0125,823.103926,131.64,12,8000,2916.071564,0
C0126,595.677343,5078.14,42,15000,4756.654374,0.916667
C0127,1128.124563,924.6,12,1000,1202.711782,0
C0128,349.441102,1975.4,17,4000,1795.012223,0
C0129,975.942008,10221.35,130,10500,10693.49585,0.75
C0130,23.111088,300,3,12500,291.948834,0.181818
C0131,11972.01104,5715,90,14000,4639.513745,0
C0132,1872.926275,766.61,12,2300,0,0
C0133,336.799916,3535.8,44,20000,2814.231227,1
C0134,36.236312,256.11,5,5300,831.375322,0.166667
C0135,903.29781,2697.48,39,2500,1686.196344,0
C0136,2881.253586,117,3,4500,17301.83238,0.166667
C0137,5.465999,196.81,3,12000,0,0
C0138,117.442684,653.73,15,10000,441.588141,0
C0139,168.522709,2009.05,22,1200,2612.760497,0.142857
C0140,1706.014379,147.78,2,6000,1186.062765,0
C0141,874.583247,516.54,30,900,579.749308,0
C0142,861.001207,969.56,6,2400,0,0
C0143,966.251742,311.45,15,1500,277.522439,0
C0144,38.615644,280.4,3,6150,254.392984,0.090909
C0145,189.687964,66.14,2,6000,0,0
C0146,40.417255,79.2,1,4000,1647.880773,0.083333
C0147,5462.897068,1453.32,18,16500,1382.269127,0
C0148,3983.923705,756.54,15,4000,1110.870941,0
C0149,5588.846272,3507.35,34,11500,1412.597253,0
C0150,281.170378,3163.69,36,8000,2422.911622,0.888889
C0151,130.251538,1343.19,33,15000,1043.55929,0.545455
C0152,1973.814964,873,5,8000,541.722532,0
C0153,43.103899,370,2,23000,1212.054219,0
C0154,566.546048,405.75,12,2000,1249.835142,0
C0155,24.527253,261.64,10,4000,376.758504,0.818182
C0156,8350.145568,1989.28,8,14000,4720.900413,0
C0157,4559.779234,10848.5,123,7500,9423.715495,0
C0158,1570.682346,645.32,2,1800,2591.391006,0
C0159,7201.736985,987.1,9,10500,1941.541158,0
C0160,6467.885013,1464.14,23,11500,1658.563509,0
C0161,64.080909,927,4,5000,1260.16384,0.222222
C0162,5635.860679,393.62,15,10000,1919.630466,0
C0163,3670.50596,965.5,9,7500,1034.932404,0
C0164,768.004936,336.41,9,6000,947.696134,0
C0165,75.647479,540,3,4000,548.967281,0
C0166,1121.730896,878.52,39,1500,542.836917,0
C0167,7.56809,144.26,7,11500,134.710832,0.111111
C0168,2053.441598,493.85,10,2000,2795.059574,0
C0169,2422.311938,4490.69,52,8500,5763.666926,0
C0170,9047.621884,11188.62,151,10000,11994.41815,0
C0171,3061.213971,1829.2,17,7000,971.234118,0
C0172,41.642389,75.99,1,2700,69.163384,0
C0173,5431.622968,1824.16,23,14500,1508.016452,0
C0174,6571.484039,9325.22,5,8500,11036.72668,0
C0175,28.461629,100,1,4000,125.769169,0
C0176,4178.625215,1431.89,39,4000,2384.542045,0
C0177,3019.019487,2260.41,25,8500,2187.930651,0
C0178,2723.369217,10410.49,41,19500,9695.650901,0.363636
C0179,1070.999446,990.7,13,1400,505.317328,0
C0180,279.608696,3034.92,12,2900,2928.909865,0.083333
C0181,1255.901821,1038.81,21,5700,1215.454299,0
C0182,2363.489077,2641.98,41,3000,1839.928884,0
C0183,4014.388265,1189.52,12,8000,0,0
C0184,7623.224897,300,6,12000,1975.974183,0
C0185,3421.571922,126.69,5,10500,2515.435738,0
C0186,48.898611,247.09,7,5500,409.594792,0
C0187,1874.716289,301.1,10,1950,586.974046,0
C0188,3215.511032,1112.2,4,7200,0,0
C0189,237.235398,2410.07,15,4000,3773.727455,1
C0190,1272.927288,5350.19,101,8000,5825.602115,0.166667
C0191,558.476701,630.03,1,5500,426.092563,0
C0192,2814.207626,3197.24,49,3000,3574.480603,0
C0193,8.061012,133,3,3000,130.61272,0.181818
C0194,435.862142,1646.16,33,12000,1055.835407,0
C0195,6.390383,79.66,12,1500,75.896288,0
C0196,9612.21512,319.92,12,12000,10993.89211,0
C0197,7938.559134,3677.52,98,12500,2657.856602,0
C0198,2344.478291,1041.63,14,4000,3033.665478,0
C0199,996.48222,675.96,12,1000,1851.602411,0.083333
C0200,19.508047,193.14,5,2000,220.46377,0.25
C0201,185.640313,1703.23,13,11500,1449.039414,1
C0202,22.189283,234.16,4,1500,479.910499,0.5
C0203,1049.496471,1322.67,28,11000,802.38543,0
C0204,5570.190127,1607.88,84,13500,1583.411686,0
C0205,2224.590946,3183,2,9000,3823.346244,0
C0206,2903.781184,3014.23,93,4500,1350.370286,0
C0207,2041.480046,7323.38,81,3000,3792.095079,0.083333
C0208,7755.698607,8533.54,72,10000,4758.209146,0
C0209,614.263149,408.93,10,9000,2161.153147,0
C0210,8097.334733,3999.92,14,7500,5624.074339,0
C0211,1082.33027,2980.46,50,6000,1116.967993,0
C0212,2734.66412,560.73,11,7500,717.798364,0
C0213,80.708806,569.9,3,9500,634.000055,0.083333
C0214,2554.525229,6186.77,38,10950,11198.92613,0.083333
C0215,535.947221,4550.81,99,8500,4317.191232,0.916667
C0216,3905.365959,150.8,2,7500,990.524408,0
C0217,156.278339,1385.1,21,14000,1280.473571,0.833333
C0218,5131.319584,32539.78,98,11500,26652.34432,0.083333
C0219,5265.763713,410.24,21,16500,12005.3074,0.083333
C0220,1873.084577,126.57,4,2100,483.557464,0
C0221,32.124999,380.89,1,5700,0,0
C0222,1473.495809,414,9,10500,5863.94034,0.5
C0223,1504.82705,2010,14,8500,859.829946,0
C0224,7645.108427,4693.15,12,13500,4786.64868,0
C0225,1129.33758,498.96,12,1000,829.505486,0
C0226,668.956687,224.2,9,9500,568.336995,0
C0227,2302.184366,2856.57,62,2500,2914.419813,0
C0228,2935.324966,409.63,12,5000,580.13865,0
C0229,83.148283,843.34,17,6500,1024.267592,0.5
C0230,280.142117,2236.49,34,10000,1986.838064,1
C0231,5790.930626,464.51,10,6000,1515.594331,0
C0232,3605.714046,1779,2,5000,856.05828,0
C0233,41.833264,456.36,14,6000,370.996177,0.333333
C0234,635.090434,5758.71,48,2900,7943.57021,1
C0235,1521.1681,245.98,2,6000,2261.523522,0
C0236,2503.107213,733.9,13,3000,1620.193277,0
C0237,191.450711,1641.07,15,500,1583.918811,0.636364
C0238,3621.70204,674.73,12,4000,1139.058595,0
C0239,2762.479434,2702.47,27,11000,7596.768364,0.083333
C0240,388.873921,1579.15,15,2700,451.600059,0
C0241,208.131845,2161.38,41,4500,2059.879468,1
C0242,169.088238,1482.19,26,6000,1289.570234,0.666667
C0243,133.911556,1446.05,16,3500,1364.121036,0.833333
C0244,566.908563,397.06,12,2100,0,0
C0245,53.208422,498.17,14,15000,611.606459,0.909091
C0246,1329.967543,2009.12,36,2500,2715.972095,0
C0247,515.904786,5359.02,60,6000,0,0
C0248,994.105777,126.2,10,1950,314.302968,0
C0249,40.089221,225,12,1500,325.578502,0.166667
C0250,0.478714,734.97,16,6000,1159.135064,0
C0251,9206.811696,874.98,16,12500,2055.100879,0
C0252,2233.074041,445.2,4,8000,1042.991769,0
C0253,57.842746,689.34,24,1500,453.842413,0.333333
C0254,4194.033835,2006.87,26,21000,19714.09728,0.1
C0255,2459.862339,678,12,2500,1926.31853,0
C0256,353.198215,3085.69,21,8500,2690.525687,1
C0257,92.440743,1080,12,6000,1077.058667,1
C0258,706.675991,2721.16,32,6500,4952.900653,0.083333
C0259,361.319366,3095.96,32,14000,4003.782858,0.583333
C0260,2922.487907,71.07,3,9500,9226.751112,0
