MaxwellSales,FolgersSales,MaxwellPrice,FolgersPrice,MaxwellDisplay,FolgersDisplay,MaxwellFeature,FolgersFeature
3998.65,9971.41,2.54,2.78,0,1,0,1
4537.35,8814.86,2.29,2.66,0,0,0,0
7075,7672.79,1.71,2.59,1,0,1,0
5072.19,6266.54,2.21,3.26,0,0,1,0
4206.76,8333.03,2.33,3.07,0,0,0,1
5749.31,9383.06,2.3,2.95,0,0,0,0
4134.32,14924.32,2.81,2.38,0,1,0,1
9984.11,6462.22,1.23,2.71,0,0,1,0
6727.82,6303.63,1.92,2.98,0,0,0,0
2569.56,19087.52,2.68,1.55,0,1,0,1
7847.89,8023.31,1.47,2.05,1,0,1,1
5456.39,8657,2.06,2.46,0,1,1,1
3126.81,9125.63,2.44,2.52,0,0,0,1
4857.06,9606.24,2.15,2.44,1,0,0,1
5103.51,5134.3,2.31,3.15,0,0,0,0
3455.08,11572.3,2.59,2.27,1,1,0,1
4293.06,13746.75,2.57,2.23,0,0,0,0
14426.66,5546.56,1.36,3.01,1,0,1,0
7985.39,4920.97,1.48,3.45,0,0,0,0
4646.24,6479.65,2.42,3.25,1,0,1,0
4315.19,7998.85,2.38,3.16,0,0,0,0
3867.07,13523.09,2.55,2.51,0,1,0,0
4766.93,8181.12,2.48,2.86,0,0,0,0
5471.76,7527.89,2.13,3.09,0,1,1,0
10101.79,6085.55,1.42,3.15,1,0,1,0
7200.07,5895.09,1.82,3.62,0,0,1,0
4110.09,7304.94,2.47,3.34,0,0,0,0
3367.48,7759.66,2.62,3.41,0,0,0,0
4215.08,17795.34,2.47,1.92,1,1,0,1
3797.52,8765.71,2.55,2.46,0,0,0,1
3937.44,15796.5,2.44,1.89,0,1,1,1
4946.49,8600.98,2.3,2.41,0,0,1,0
9800.31,4689.91,1.83,3.85,1,0,1,0
4810.02,11880.7,2.1,1.89,1,1,1,0
4165.15,9053.5,2.3,2.48,0,1,0,1
3677.41,8051.03,2.41,2.57,0,0,0,0
9619.8,6473.08,1.53,2.81,1,0,1,1
3570.27,16002.07,2.37,1.83,0,1,0,1
5752.2,7844.41,2.17,3.02,1,0,1,0
3190.53,15734.05,2.49,1.79,0,1,0,1
5193.27,5507.26,2.43,3.57,0,0,0,0
3289.26,15083.79,2.74,2.23,0,1,0,1
4495.83,8685.43,2.44,2.55,0,0,0,0
4319.68,7609.62,2.75,3.11,0,0,0,0
3482.54,19604.7,2.67,1.87,0,1,0,1
2280.31,15203,3.24,2.06,0,1,0,1
4582.46,13295.54,2.56,1.98,1,0,1,1
4535.4,8348.58,2.54,2.54,0,0,0,1
3277.24,15454.32,2.9,1.76,0,1,0,1
3712.15,10216.88,2.82,2.63,0,0,0,0
9408.29,6077.23,1.78,2.81,1,0,1,0
4768.59,14025.69,2.31,1.81,0,1,0,1
3791.52,7776.77,2.59,2.85,0,0,0,0
4546.15,10187.96,2.83,2.57,0,1,0,1
5227.73,8328.62,2.57,3,0,0,0,1
8479.69,5993.04,1.63,3.09,1,0,1,0
4486.18,12643.59,2.14,2.4,0,0,0,0
6722.01,5036.58,1.8,3.13,1,0,1,0
5852.03,6706.43,2.15,3.02,0,0,0,0
4351.53,8594.16,2.26,2.67,0,1,0,0
3986.59,9613.16,2.25,2.8,0,0,0,0
5355.02,8176.14,2.11,2.81,1,0,1,0
3703.64,15107.13,2.36,1.98,0,1,0,0
3522.88,9247.62,2.53,2.52,0,0,0,0
9884.81,6654.65,1.56,3.08,1,0,1,0
4646.24,6139.72,2.1,3.16,0,0,0,0
5648.3,6596.55,2.08,3.15,1,0,0,0
4554.9,7675.14,2.34,3.11,0,0,0,0
3635.35,17590.98,2.54,1.99,0,1,0,1
4529.63,11690.27,2.45,2.28,0,0,0,0
6851.43,7251.88,1.95,3,1,0,1,0
3706.92,15208.2,2.16,1.77,0,1,0,1
3694.58,5298.12,2.79,3,0,0,0,0
4097.94,12403.8,2.42,1.98,0,1,0,1
4259.62,9553.68,2.42,2.42,0,0,0,0
4392.31,8662.27,2.52,2.69,0,0,0,0
7898.36,5902.35,1.69,3.08,1,0,1,0
6740.77,7511.11,1.81,2.8,1,1,1,0
3549.93,11106.77,2.16,2.49,0,1,0,1
5075.27,6624.41,2.26,3.01,0,0,0,0
4613.42,7049.94,2.41,3.06,0,0,0,0
4682.65,8431.17,2.43,3.26,0,0,0,0
4080.83,10451.18,2.34,2.08,0,0,0,0
4876.45,18342.99,1.8,1.25,1,1,0,1
3729.13,9592.67,2.34,1.96,0,1,0,0
6682.84,5269.79,1.8,3.18,1,0,1,0
5599.43,6026.16,2.18,3.11,0,0,0,0
12962.76,5711.22,1.21,2.81,1,0,1,0
8307.12,6504.1,1.55,3.01,1,0,1,0
3310.75,8295.95,2.68,3.06,0,0,0,0
3965.87,9567.37,2.61,2.9,0,0,0,0
3717.51,15770.08,2.57,2.2,0,1,0,0
4693.35,6784.29,2.49,3.35,0,0,0,0
5311.81,7546.65,2.53,3,0,0,0,0
9753.56,6730.86,1.44,2.81,1,0,1,0
4822.81,12969.75,2.02,2,0,1,0,1
4512.32,7385.1,2.25,2.43,1,0,0,0
4220.34,6421.85,2.25,3.01,0,0,0,0
5491.09,11490.23,2.1,2.26,0,1,1,1
3895.75,10758.55,2.4,2.34,0,0,0,0
6100.79,6871.06,2.13,2.6,1,0,1,0
5395.55,8759.2,2.05,2.67,0,0,0,0
3820.33,10461.83,2.35,2.36,0,1,0,1
4557.11,12127.32,2.31,2.46,0,0,0,0
