review_id,stars,text
iTQNM_QR76psmp-yufufwA,4,"Wooow people, just woow.  This place is delicious, personally its comparable to Pappadeux (if you haven't tried it, then try it).  The menu (i forgot to take a picture of) is obviously a majority of seafood but definitely checkout the pictures taken.  The pictures don't even do the food justice though because its not a scratch n' sniff (or taste).  So, the least you can do is take my word for it. First, lets start with the appetizers.  The appetizers we ordered were fried gator bites and a pile of nachos, for my main course I ordered the creamy linguine with blackened fish (grouper i think.). The gator bites were delish, however I don't recommend using the dipping sauce that it comes with because the seasoning on the gator bites plus the sauce seasoning is almost an instant shot of salt straight to the dome.  Instead I just used good ol' regular ketchup.  The sweetness from the ketchup totally offsets the saltiness on the breading.  I didn't get a chance to really taste the nachos because they were demolished within minutes, but trust me the like of nachos is a literal pile!  Because they got demolished so quick, I'll assume they tasted at least great.  Now for the main course, the creamy linguine with blackened fish was probably one of the best I've had in awhile.  The noodles were a little thicker than what I like, but it didn't take away from the how good it tasted.  The prices for their menu items were a kittle up there, but when you eat here I wanna say you're also paying for an amazing view.  Go around sunset, or stay until then... creates a little better ambiance depending on the party that you come with."
hgF5EO-wKcz8DlSzP1ou7Q,4,"Came to Whiskey Joes for lunch. It has great sitting outside on the patio and inside with wide open windows overlooking the ocean. Amazing views and their portion sizes of food are excellent for sharing! 
I ordered their bowl of Spicy Island Gumbo ($8 & large size) and it tasted good and could be a meal if you were looking for a little bit lighter lunch portion. Also ordered the Snapper in Paradise which was at least a 6oz piece of fish topped with tomatoes and sauce that was delicious. It came with two sides and I ordered the broccoli and fries. ($26) Wasn't too fond of the broccoli, needed seasoned and was half way raw. It is slightly higher in price, but know that their portions make up for it and the sizes are worth the price. 
Only other thing that I didn't know is that there is valet parking only in their lot which is $5. 
I didn't get to go on the beach area because it was windy and slightly raining, but looks great and relaxing! Will be back to sit out and relax in the sun!"
lgdwDAfS_P9M-yg0MvmJTg,1,"I want to start saying that I wish I could give no stars. This place is hands down the worst food in all Tampa Bay area. If you want to grab a drink and look at the water, it might be ok.. if you wish to eat something descent (not looking for gourmet food here), please go to Bahama Breeze on the other side of the bay (5 min from this place). My experience started with the hostess being mean to us saying that I would have to wait 1 hour at least to sit outside on a Tuesday afternoon. Ok, we asked to sit inside by the window and even though the tables were empty, including several window ones, they said that it wasn't possible. 

Anyway, we ordered the peel n' shrimp for app and it was okay. Then, we ordered a chopped salad, scallops app and jambalaya. They were all nasty and it felt like they were sitting in the kitchen and then they just brought up to our table. The prices are also not cheap for a bar with mediocre food.

I understand you're on the water and people like coming here for drinks and ""party"", but please serve food that at least taste fine. I wouldn't recommend this place to anyone and will not for sure bring friends that visit from out of town ever again."
lfDtvjhnriu3yWBLg1yGSA,1,"Would not recommend as a place for a large group. I had a group of 20 on a Sunday evening, and even though reservation was made more than a week before, service was horrible. Had to hunt down a waitress to take orders from us one hour after the reservation time, and then beg to get our checks at the end. Waitresses stopped by not even once in 3 hours to check up on us. I tipped how much I thought the servers worked for (actually, I thought I was being generous with what I tipped given how little they did), only to face a waitress confronting me at the end with the elusive ""was everything okay? because we live on tips"". LOL. COME ON. I had asked for tables conducive for socializing and even though there were tables in a corner area perfect for the purpose, I was instead given a looong linear table in the middle of the restaurant. Given the perfect location and views they have going on for them, I think they would do sooo much better if they hired the right people to attend on clients. *end of vent*"
jNBViPHOt35KY74tXxrPjA,2,Service is slow. No one approched us and when i grabed a waitress it took forever to get a pitcher of beer.
RLjBFzzBtcHzC6x5YW52QA,3,"We take visitors here when we pick them up at the airport. Nachos are the best. The food is great and the outside seating by the water is pleasant.  I wish they would have a larger menu for beach side, but, you can always eat inside and just hang outside with yummy drinks"
zm0pSrJwv_98A0UY9TGnMA,3,Would be a 4 to 5 star if the wait wasn't as long for the food.  Tastes great. Fun staff amazing view.
JBTTC2P0Kx-uuNo5c4WAtQ,3,"Traveled down to Whiskey Joe's with my wife for lunch. We ordered their Tequila and Garlic dip pen shrimp, and that appetizer had great flavor. We then order the Gumbo for me and the Beer Cheese soup for her. My gumbo had a good flavor but a little runny. Her Beer Cheese had a great flavor but very thin like water. Then I order their Fish and Chips and my wife ordered the Ma hi Fish Tacos. Both dishes look good but... very plain flavor, nothing outstanding about food. The service was top topnotch as well as the view...."
xPZl8X4M8-6_EHu0LFWURQ,2,"I need to make clear the beach bar and the restaurant are two very different experiences. I'll start with the restaurant, the lobby smelled like URINE. Overwhelmingly. The girls bathrooms were lovely, but the boys said the smell definitely was coming from their restroom, and it was repulsive. If I could, negative stars. The only thing safe to order would be bottled beer. And the price would be worth it given the great view. I was in a group of 8 people. Not one rated their food over a 3/10. And we're not hard to please people.
Oysters- The worst oysters hands down. Absolutely zero taste. I ordered 6, ate 2. Wish I'd had none. Nachos- I couldn't even find the cheese until I gave up on eating it and just dug with a fork to find it on the VERY BOTTOM along with some very soggy chips.
Chipotle Cioppino- was sent back. But they didn't charge her. Although I was still charged for my oysters.
Swashbuckler's Basket- 2 orders of this. Probably the most well received of the lot. But still rated a 3/10.
All American Sliders- was requested to come with avocado, not only missing the avocado but also the onions. Was later brought out on the side. My friend ended up eating the patties by themselves just to get the protein because she needed to eat something.
Signature Burger- She said the burger had 0 flavor. Ate the fries which she considered mediocre.
Gumbo- probably the best thing I tasted but crazy salty. Something I have no problem with my friend was not a fan.
The drinks- 2 margaritas and I had some type of lemonade. You will never get drunk here. Both girls that ordered the margaritas ordered a second shot to pour in... By the time I was halfway done with my drink, halfway, it was just water. Not even syrup.
The service- Nah. Wasn't there. The waiter seemed to put in some effort but he was clearly not having a good year. The lack of effort was made very evident though when about 15 or more seagulls attacked a nearby table that hadn't been cleaned off. I swear I'm not making any of this up. This was our experience.

That bar tho...

While still spendy, they were well worth it. Sitting on the beach with that view! And my drink was so unbelievably yummy. I crave it days later. I believe it was The Hurricane Juice that I ordered. It was blended, blue and had coconut milk. It was unbelievable. If you're nearby, and want a tasty drink, game of volleyball, a swim, or corn hole, definitely stop here. Just stay as far away from the main restaurant as possible."
SOT0THlT7xDq-7haI6Ss8Q,3,"Great beach, nice staff. Food and drink is expensive and not very good. Parking is also an issue."
